signal_date,symbol,shares,signal_nav,sizing_price,reason,target_shares,target_weight,odd_entitlement
2012-10-19,1101.TW,1097000,1000000000.0,37.6,D-1 estimated accounting; fill-day constraints require ledger audit,1097000.0,0.041266,0.0
2012-10-19,1216.TW,793000,1000000000.0,52.0,D-1 estimated accounting; fill-day constraints require ledger audit,793000.0,0.041262,0.0
2012-10-19,2207.TW,195000,1000000000.0,211.0,D-1 estimated accounting; fill-day constraints require ledger audit,195000.0,0.0412505,0.0
2012-10-19,2301.TW,1100000,1000000000.0,37.5,D-1 estimated accounting; fill-day constraints require ledger audit,1100000.0,0.04126875,0.0
2012-10-19,2330.TW,476000,1000000000.0,86.7,D-1 estimated accounting; fill-day constraints require ledger audit,476000.0,0.04131255,0.0
2012-10-19,2395.TW,371000,1000000000.0,111.0,D-1 estimated accounting; fill-day constraints require ledger audit,371000.0,0.0412365,0.0
2012-10-19,2404.TW,1573000,1000000000.0,26.25,D-1 estimated accounting; fill-day constraints require ledger audit,1573000.0,0.041304375,0.0
2012-10-19,2409.TW,3544000,1000000000.0,11.65,D-1 estimated accounting; fill-day constraints require ledger audit,3544000.0,0.041293425,0.0
2012-10-19,2449.TW,2564000,1000000000.0,16.1,D-1 estimated accounting; fill-day constraints require ledger audit,2564000.0,0.04128845,0.0
2012-10-19,2454.TW,127000,1000000000.0,323.5,D-1 estimated accounting; fill-day constraints require ledger audit,127000.0,0.04124625,0.0
2012-10-19,2881.TW,1290000,1000000000.0,32.0,D-1 estimated accounting; fill-day constraints require ledger audit,1290000.0,0.041296,0.0
2012-10-19,3034.TW,389000,1000000000.0,106.0,D-1 estimated accounting; fill-day constraints require ledger audit,389000.0,0.041287,0.0
2012-10-19,3036.TW,1131000,1000000000.0,36.5,D-1 estimated accounting; fill-day constraints require ledger audit,1131000.0,0.04129975,0.0
2012-10-19,3131.TWO,545000,1000000000.0,75.7,D-1 estimated accounting; fill-day constraints require ledger audit,545000.0,0.04129435,0.0
2012-10-19,3481.TW,3606000,1000000000.0,11.45,D-1 estimated accounting; fill-day constraints require ledger audit,3606000.0,0.041294425,0.0
2012-10-19,3680.TWO,590000,1000000000.0,69.8,D-1 estimated accounting; fill-day constraints require ledger audit,590000.0,0.0412169,0.0
2012-10-19,3702.TW,1058000,1000000000.0,39.0,D-1 estimated accounting; fill-day constraints require ledger audit,1058000.0,0.0412815,0.0
2012-10-19,4123.TWO,1114000,1000000000.0,37.05,D-1 estimated accounting; fill-day constraints require ledger audit,1114000.0,0.041292225,0.0
2012-10-19,4938.TW,1011000,1000000000.0,40.8,D-1 estimated accounting; fill-day constraints require ledger audit,1011000.0,0.0412692,0.0
2012-10-19,5347.TWO,2231000,1000000000.0,18.5,D-1 estimated accounting; fill-day constraints require ledger audit,2231000.0,0.04128275,0.0
2012-10-19,5903.TWO,275000,1000000000.0,149.5,D-1 estimated accounting; fill-day constraints require ledger audit,275000.0,0.04118725,0.0
2012-10-19,6147.TWO,859000,1000000000.0,48.0,D-1 estimated accounting; fill-day constraints require ledger audit,859000.0,0.041256,0.0
2012-10-29,2357.TW,134000,978412439.3609684,313.0,D-1 estimated accounting; fill-day constraints require ledger audit,134000.0,0.0430273556492146,0.0
2012-10-29,4123.TWO,-1114000,978412439.3609684,30.8,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2012-11-02,2207.TW,-195000,988290196.7364156,195.0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2012-11-02,3189.TW,496000,988290196.7364156,86.0,D-1 estimated accounting; fill-day constraints require ledger audit,496000.0,0.04320492112640893,0.0
2012-11-05,2379.TW,735000,987331622.6985444,58.0,D-1 estimated accounting; fill-day constraints require ledger audit,735000.0,0.04320635439935139,0.0
2012-11-05,3680.TWO,-590000,987331622.6985444,58.7,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2012-11-06,3008.TW,66000,990465438.9539158,645.0,D-1 estimated accounting; fill-day constraints require ledger audit,66000.0,0.04330539796047916,0.0
2012-11-06,3702.TW,-1058000,990465438.9539158,34.5,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2012-11-08,2603.TW,2633000,994240554.2496265,16.3,D-1 estimated accounting; fill-day constraints require ledger audit,2633000.0,0.04317471241393604,0.0
2012-11-08,3036.TW,-1131000,994240554.2496265,34.55,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2012-11-09,2360.TW,672000,996260888.4153785,64.0,D-1 estimated accounting; fill-day constraints require ledger audit,672000.0,0.04320153536134303,0.0
2012-11-09,5903.TWO,-275000,996260888.4153785,141.0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2012-11-12,2404.TW,-1573000,998845851.789035,24.6,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2012-11-12,5871.TW,746000,998845851.789035,57.8,D-1 estimated accounting; fill-day constraints require ledger audit,746000.0,0.043197556382416825,0.0
2012-11-16,3491.TWO,911000,981200557.6729839,46.5,D-1 estimated accounting; fill-day constraints require ledger audit,911000.0,0.04319682624367816,0.0
2012-11-16,4938.TW,-1011000,981200557.6729839,35.2,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
