signal_date,symbol,shares,signal_nav,sizing_price,reason,target_shares,target_weight,odd_entitlement
2022-10-19,1303.TW,618000,1000000000.0,66.1,D-1 estimated accounting; fill-day constraints require ledger audit,618000.0,0.04088285,0.0
2022-10-19,1402.TW,1319000,1000000000.0,31.0,D-1 estimated accounting; fill-day constraints require ledger audit,1319000.0,0.0409045,0.0
2022-10-19,1802.TW,2119000,1000000000.0,19.3,D-1 estimated accounting; fill-day constraints require ledger audit,2119000.0,0.04090635,0.0
2022-10-19,2002.TW,1490000,1000000000.0,27.45,D-1 estimated accounting; fill-day constraints require ledger audit,1490000.0,0.040914225,0.0
2022-10-19,2059.TW,94000,1000000000.0,433.0,D-1 estimated accounting; fill-day constraints require ledger audit,94000.0,0.0409185,0.0
2022-10-19,2301.TW,629000,1000000000.0,65.0,D-1 estimated accounting; fill-day constraints require ledger audit,629000.0,0.0409175,0.0
2022-10-19,2344.TW,2020000,1000000000.0,20.25,D-1 estimated accounting; fill-day constraints require ledger audit,2020000.0,0.040915125,0.0
2022-10-19,2347.TW,752000,1000000000.0,54.4,D-1 estimated accounting; fill-day constraints require ledger audit,752000.0,0.040936,0.0
2022-10-19,2356.TW,1806000,1000000000.0,22.65,D-1 estimated accounting; fill-day constraints require ledger audit,1806000.0,0.040917225,0.0
2022-10-19,2377.TW,371000,1000000000.0,110.0,D-1 estimated accounting; fill-day constraints require ledger audit,371000.0,0.040865,0.0
2022-10-19,2408.TW,760000,1000000000.0,53.8,D-1 estimated accounting; fill-day constraints require ledger audit,760000.0,0.0409149,0.0
2022-10-19,2409.TW,2253000,1000000000.0,18.15,D-1 estimated accounting; fill-day constraints require ledger audit,2253000.0,0.040901025,0.0
2022-10-19,2451.TW,619000,1000000000.0,66.0,D-1 estimated accounting; fill-day constraints require ledger audit,619000.0,0.040887,0.0
2022-10-19,3211.TWO,585000,1000000000.0,69.9,D-1 estimated accounting; fill-day constraints require ledger audit,585000.0,0.04092645,0.0
2022-10-19,3231.TW,1561000,1000000000.0,26.2,D-1 estimated accounting; fill-day constraints require ledger audit,1561000.0,0.0409113,0.0
2022-10-19,3481.TW,3099000,1000000000.0,13.2,D-1 estimated accounting; fill-day constraints require ledger audit,3099000.0,0.0409134,0.0
2022-10-19,3533.TW,55000,1000000000.0,732.0,D-1 estimated accounting; fill-day constraints require ledger audit,55000.0,0.040626,0.0
2022-10-19,6023.TWO,873000,1000000000.0,46.85,D-1 estimated accounting; fill-day constraints require ledger audit,873000.0,0.040923475,0.0
2022-10-19,6121.TWO,155000,1000000000.0,262.5,D-1 estimated accounting; fill-day constraints require ledger audit,155000.0,0.04081875,0.0
2022-10-19,6139.TW,1415000,1000000000.0,28.9,D-1 estimated accounting; fill-day constraints require ledger audit,1415000.0,0.04090795,0.0
2022-10-19,6505.TW,525000,1000000000.0,77.9,D-1 estimated accounting; fill-day constraints require ledger audit,525000.0,0.04093645,0.0
2022-10-19,8415.TWO,1230000,1000000000.0,33.25,D-1 estimated accounting; fill-day constraints require ledger audit,1230000.0,0.040914125,0.0
