signal_date,symbol,shares,signal_nav,sizing_price,reason,target_shares,target_weight,odd_entitlement
2012-06-29,1504.TW,1554000,1000000000.0,19.3,D-1 estimated accounting; fill-day constraints require ledger audit,1554000.0,0.03000185,0.0
2012-06-29,1802.TW,2095000,1000000000.0,25.05,D-1 estimated accounting; fill-day constraints require ledger audit,2095000.0,0.052492275,0.0
2012-06-29,1815.TWO,4122000,1000000000.0,15.25,D-1 estimated accounting; fill-day constraints require ledger audit,4122000.0,0.062868125,0.0
2012-06-29,2324.TW,2938000,1000000000.0,27.35,D-1 estimated accounting; fill-day constraints require ledger audit,2938000.0,0.080367975,0.0
2012-06-29,2356.TW,472000,1000000000.0,9.63,D-1 estimated accounting; fill-day constraints require ledger audit,472000.0,0.004550175,0.0
2012-06-29,2357.TW,279000,1000000000.0,271.5,D-1 estimated accounting; fill-day constraints require ledger audit,279000.0,0.07588425,0.0
2012-06-29,2368.TW,5778000,1000000000.0,6.4,D-1 estimated accounting; fill-day constraints require ledger audit,5778000.0,0.0369824,0.0
2012-06-29,2379.TW,514000,1000000000.0,54.1,D-1 estimated accounting; fill-day constraints require ledger audit,514000.0,0.02783445,0.0
2012-06-29,3017.TW,3594000,1000000000.0,15.1,D-1 estimated accounting; fill-day constraints require ledger audit,3594000.0,0.05427695,0.0
2012-06-29,3189.TW,793000,1000000000.0,81.4,D-1 estimated accounting; fill-day constraints require ledger audit,793000.0,0.0645909,0.0
2012-06-29,3231.TW,1687000,1000000000.0,36.5,D-1 estimated accounting; fill-day constraints require ledger audit,1687000.0,0.06159375,0.0
2012-06-29,3529.TWO,395000,1000000000.0,63.4,D-1 estimated accounting; fill-day constraints require ledger audit,395000.0,0.0250747,0.0
2012-06-29,4904.TW,491000,1000000000.0,64.7,D-1 estimated accounting; fill-day constraints require ledger audit,491000.0,0.03180005,0.0
2012-06-29,4938.TW,2008000,1000000000.0,38.9,D-1 estimated accounting; fill-day constraints require ledger audit,2008000.0,0.07813065,0.0
2012-06-29,5347.TWO,4296000,1000000000.0,13.9,D-1 estimated accounting; fill-day constraints require ledger audit,4296000.0,0.05972135,0.0
2012-06-29,5483.TWO,995000,1000000000.0,46.4,D-1 estimated accounting; fill-day constraints require ledger audit,995000.0,0.0461912,0.0
2012-06-29,5903.TWO,168000,1000000000.0,139.0,D-1 estimated accounting; fill-day constraints require ledger audit,168000.0,0.0234215,0.0
2012-06-29,6121.TWO,121000,1000000000.0,203.5,D-1 estimated accounting; fill-day constraints require ledger audit,121000.0,0.02472525,0.0
2012-06-29,6182.TWO,318000,1000000000.0,20.55,D-1 estimated accounting; fill-day constraints require ledger audit,318000.0,0.006545175,0.0
2012-06-29,6187.TWO,2264000,1000000000.0,15.0,D-1 estimated accounting; fill-day constraints require ledger audit,2264000.0,0.0339675,0.0
2012-06-29,6290.TWO,189000,1000000000.0,30.6,D-1 estimated accounting; fill-day constraints require ledger audit,189000.0,0.0057987,0.0
2012-06-29,6505.TW,260000,1000000000.0,80.9,D-1 estimated accounting; fill-day constraints require ledger audit,260000.0,0.02107445,0.0
2012-07-04,2408.TW,26462000,1021357237.6314831,2.5,D-1 estimated accounting; fill-day constraints require ledger audit,26462000.0,0.06477288020537815,0.0
2012-07-04,3017.TW,-3594000,1021357237.6314831,16.2,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2012-07-06,2327.TW,7038000,1018348821.1110336,8.67,D-1 estimated accounting; fill-day constraints require ledger audit,7038000.0,0.05992425555461648,0.0
2012-07-06,3529.TWO,-395000,1018348821.1110336,66.5,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2012-07-09,2409.TW,3210000,1013349024.5935545,11.75,D-1 estimated accounting; fill-day constraints require ledger audit,3210000.0,0.037226438358817705,0.0
2012-07-09,6505.TW,-260000,1013349024.5935545,82.9,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2012-07-10,1802.TW,-2095000,1005730903.4274982,28.5,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2012-07-10,4966.TWO,61000,1005730903.4274982,383.0,D-1 estimated accounting; fill-day constraints require ledger audit,61000.0,0.023420280633444823,0.0
2012-07-11,3044.TW,691000,1006065053.467499,80.5,D-1 estimated accounting; fill-day constraints require ledger audit,691000.0,0.0553301695632332,0.0
2012-07-11,4904.TW,-491000,1006065053.467499,72.09999999999998,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2012-07-13,2408.TW,-26462000,975835839.2944374,2.52,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2012-07-13,2454.TW,157000,975835839.2944374,248.0,D-1 estimated accounting; fill-day constraints require ledger audit,157000.0,0.04002722428010198,0.0
