signal_date,symbol,shares,signal_nav,sizing_price,reason,target_shares,target_weight,odd_entitlement
2025-06-30,2360.TW,93000,1000000000.0,442.5,D-1 estimated accounting; fill-day constraints require ledger audit,93000.0,0.04137375,0.0
2025-06-30,2368.TW,141000,1000000000.0,295.0,D-1 estimated accounting; fill-day constraints require ledger audit,141000.0,0.0417425,0.0
2025-06-30,2383.TW,46000,1000000000.0,882.0,D-1 estimated accounting; fill-day constraints require ledger audit,46000.0,0.041013,0.0
2025-06-30,3017.TW,56000,1000000000.0,743.0,D-1 estimated accounting; fill-day constraints require ledger audit,56000.0,0.0419795,0.0
2025-06-30,3036.TW,324000,1000000000.0,128.5,D-1 estimated accounting; fill-day constraints require ledger audit,324000.0,0.04169825,0.0
2025-06-30,3081.TWO,126000,1000000000.0,327.5,D-1 estimated accounting; fill-day constraints require ledger audit,126000.0,0.04142875,0.0
2025-06-30,3131.TWO,25000,1000000000.0,1635.0,D-1 estimated accounting; fill-day constraints require ledger audit,25000.0,0.0416925,0.0
2025-06-30,3211.TWO,184000,1000000000.0,226.0,D-1 estimated accounting; fill-day constraints require ledger audit,184000.0,0.041697,0.0
2025-06-30,3363.TWO,151000,1000000000.0,273.5,D-1 estimated accounting; fill-day constraints require ledger audit,151000.0,0.04143525,0.0
2025-06-30,3443.TW,31000,1000000000.0,1305.0,D-1 estimated accounting; fill-day constraints require ledger audit,31000.0,0.0411075,0.0
2025-06-30,3653.TW,27000,1000000000.0,1510.0,D-1 estimated accounting; fill-day constraints require ledger audit,27000.0,0.041525,0.0
2025-06-30,3661.TW,12000,1000000000.0,3095.0,D-1 estimated accounting; fill-day constraints require ledger audit,12000.0,0.0386875,0.0
2025-06-30,3665.TW,48000,1000000000.0,848.0,D-1 estimated accounting; fill-day constraints require ledger audit,48000.0,0.041128,0.0
2025-06-30,5274.TWO,8000,1000000000.0,4745.0,D-1 estimated accounting; fill-day constraints require ledger audit,8000.0,0.0403325,0.0
2025-06-30,5347.TWO,414000,1000000000.0,100.5,D-1 estimated accounting; fill-day constraints require ledger audit,414000.0,0.04165725,0.0
2025-06-30,6187.TWO,102000,1000000000.0,404.0,D-1 estimated accounting; fill-day constraints require ledger audit,102000.0,0.04141,0.0
2025-06-30,6223.TWO,43000,1000000000.0,945.0,D-1 estimated accounting; fill-day constraints require ledger audit,43000.0,0.0411075,0.0
2025-06-30,6274.TWO,182000,1000000000.0,227.5,D-1 estimated accounting; fill-day constraints require ledger audit,182000.0,0.04151875,0.0
2025-06-30,6515.TW,31000,1000000000.0,1295.0,D-1 estimated accounting; fill-day constraints require ledger audit,31000.0,0.0407925,0.0
2025-06-30,6789.TW,179000,1000000000.0,231.5,D-1 estimated accounting; fill-day constraints require ledger audit,179000.0,0.04155425,0.0
2025-06-30,6919.TW,30000,1000000000.0,1345.0,D-1 estimated accounting; fill-day constraints require ledger audit,30000.0,0.0410225,0.0
2025-06-30,8210.TW,84000,1000000000.0,487.0,D-1 estimated accounting; fill-day constraints require ledger audit,84000.0,0.0411515,0.0
2025-07-07,4991.TWO,308000,980006229.9304422,137.0,D-1 estimated accounting; fill-day constraints require ledger audit,308000.0,0.043126766656370955,0.0
2025-07-07,5347.TWO,-414000,980006229.9304422,91.0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2025-07-08,2404.TW,62000,989754546.8571599,684.0,D-1 estimated accounting; fill-day constraints require ledger audit,62000.0,0.04319252701161839,0.0
2025-07-08,6515.TW,-31000,989754546.8571599,1125.0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2025-07-10,3653.TW,-27000,1021582736.1653726,1430.0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2025-07-10,8046.TW,315000,1021582736.1653726,140.0,D-1 estimated accounting; fill-day constraints require ledger audit,315000.0,0.04323683088635301,0.0
