signal_date,symbol,shares,signal_nav,sizing_price,reason,target_shares,target_weight,odd_entitlement
2023-10-19,1519.TW,158000,1000000000.0,260.5,D-1 estimated accounting; fill-day constraints require ledger audit,158000.0,0.04128925,0.0
2023-10-19,1590.TW,38000,1000000000.0,1055.0,D-1 estimated accounting; fill-day constraints require ledger audit,38000.0,0.0406175,0.0
2023-10-19,2345.TW,83000,1000000000.0,496.0,D-1 estimated accounting; fill-day constraints require ledger audit,83000.0,0.041416,0.0
2023-10-19,2404.TW,176000,1000000000.0,235.0,D-1 estimated accounting; fill-day constraints require ledger audit,176000.0,0.0414775,0.0
2023-10-19,2449.TW,489000,1000000000.0,84.9,D-1 estimated accounting; fill-day constraints require ledger audit,489000.0,0.04155855,0.0
2023-10-19,2454.TW,50000,1000000000.0,830.0,D-1 estimated accounting; fill-day constraints require ledger audit,50000.0,0.041915,0.0
2023-10-19,3036.TW,358000,1000000000.0,116.0,D-1 estimated accounting; fill-day constraints require ledger audit,358000.0,0.041586,0.0
2023-10-19,3227.TWO,312000,1000000000.0,132.5,D-1 estimated accounting; fill-day constraints require ledger audit,312000.0,0.04140625,0.0
2023-10-19,3260.TWO,399000,1000000000.0,104.0,D-1 estimated accounting; fill-day constraints require ledger audit,399000.0,0.041548,0.0
2023-10-19,3363.TWO,564000,1000000000.0,73.59999999999998,D-1 estimated accounting; fill-day constraints require ledger audit,564000.0,0.041547199999999986,0.0
2023-10-19,3491.TWO,248000,1000000000.0,167.0,D-1 estimated accounting; fill-day constraints require ledger audit,248000.0,0.0414995,0.0
2023-10-19,3529.TWO,17000,1000000000.0,2360.0,D-1 estimated accounting; fill-day constraints require ledger audit,17000.0,0.0413,0.0
2023-10-19,3661.TW,15000,1000000000.0,2600.0,D-1 estimated accounting; fill-day constraints require ledger audit,15000.0,0.0403,0.0
2023-10-19,3702.TW,615000,1000000000.0,67.5,D-1 estimated accounting; fill-day constraints require ledger audit,615000.0,0.04154625,0.0
2023-10-19,4966.TWO,36000,1000000000.0,1135.0,D-1 estimated accounting; fill-day constraints require ledger audit,36000.0,0.0414275,0.0
2023-10-19,5274.TWO,13000,1000000000.0,2895.0,D-1 estimated accounting; fill-day constraints require ledger audit,13000.0,0.0390825,0.0
2023-10-19,5536.TWO,229000,1000000000.0,181.0,D-1 estimated accounting; fill-day constraints require ledger audit,229000.0,0.0415395,0.0
2023-10-19,6139.TW,359000,1000000000.0,115.5,D-1 estimated accounting; fill-day constraints require ledger audit,359000.0,0.04152225,0.0
2023-10-19,6187.TWO,310000,1000000000.0,134.0,D-1 estimated accounting; fill-day constraints require ledger audit,310000.0,0.041607,0.0
2023-10-19,6510.TWO,71000,1000000000.0,581.0,D-1 estimated accounting; fill-day constraints require ledger audit,71000.0,0.0415415,0.0
2023-10-19,8299.TWO,84000,1000000000.0,490.0,D-1 estimated accounting; fill-day constraints require ledger audit,84000.0,0.041405,0.0
2023-10-19,8932.TWO,502000,1000000000.0,82.59999999999998,D-1 estimated accounting; fill-day constraints require ledger audit,502000.0,0.04150649999999999,0.0
2023-11-15,2404.TW,-176000,1028548347.2037424,242.0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2023-11-15,6415.TW,116000,1028548347.2037424,382.0,D-1 estimated accounting; fill-day constraints require ledger audit,116000.0,0.04326777649391771,0.0
