date,original_reason,final_reason,attempts,replanning_triggered,orders,nominal_failures,hold_envelope_failures
2018-06-29,D-1 estimated accounting; fill-day constraints require ledger audit,D-1 estimated accounting; fill-day constraints require ledger audit,1,False,22,,NOT_CERTIFIED
2018-07-02,D-1 estimated accounting; fill-day constraints require ledger audit,D-1 estimated accounting; fill-day constraints require ledger audit,1,False,22,,NOT_CERTIFIED
2018-07-03,D-1 estimated accounting; fill-day constraints require ledger audit,D-1 estimated accounting; fill-day constraints require ledger audit,1,False,0,,NOT_CERTIFIED
2018-07-04,D-1 estimated accounting; fill-day constraints require ledger audit,D-1 estimated accounting; fill-day constraints require ledger audit,1,False,0,,NOT_CERTIFIED
2018-07-05,D-1 estimated accounting; fill-day constraints require ledger audit,D-1 estimated accounting; fill-day constraints require ledger audit,1,False,0,,NOT_CERTIFIED
2018-07-06,D-1 estimated accounting; fill-day constraints require ledger audit,D-1 estimated accounting; fill-day constraints require ledger audit,1,False,1,,NOT_CERTIFIED
2018-07-09,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,1,False,0,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,NOT_CERTIFIED
2018-07-10,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,1,False,0,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,NOT_CERTIFIED
2018-07-11,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,1,False,0,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,NOT_CERTIFIED
2018-07-12,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,1,False,0,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,NOT_CERTIFIED
2018-07-13,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,1,False,0,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,NOT_CERTIFIED
2018-07-16,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,1,False,0,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,NOT_CERTIFIED
2018-07-17,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,1,False,0,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,NOT_CERTIFIED
2018-07-18,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,1,False,0,INFEASIBLE_V4:Odd-lot legacy holdings require separate corporate-action handling,NOT_CERTIFIED
