signal_date,symbol,shares,signal_nav,sizing_price,reason,target_shares,target_weight,odd_entitlement
2017-06-30,1590.TW,126000,1000000000.0,359.5,D-1 estimated accounting; fill-day constraints require ledger audit,126000.0,0.04547675,0.0
2017-06-30,2303.TW,3080000,1000000000.0,14.75,D-1 estimated accounting; fill-day constraints require ledger audit,3080000.0,0.045437375,0.0
2017-06-30,2317.TW,387000,1000000000.0,117.0,D-1 estimated accounting; fill-day constraints require ledger audit,387000.0,0.0453375,0.0
2017-06-30,2327.TW,428000,1000000000.0,106.0,D-1 estimated accounting; fill-day constraints require ledger audit,428000.0,0.045421,0.0
2017-06-30,2383.TW,308000,1000000000.0,147.5,D-1 estimated accounting; fill-day constraints require ledger audit,308000.0,0.04550375,0.0
2017-06-30,2408.TW,828000,1000000000.0,54.8,D-1 estimated accounting; fill-day constraints require ledger audit,828000.0,0.0454018,0.0
2017-06-30,2409.TW,3268000,1000000000.0,13.9,D-1 estimated accounting; fill-day constraints require ledger audit,3268000.0,0.04543215,0.0
2017-06-30,2882.TW,906000,1000000000.0,50.1,D-1 estimated accounting; fill-day constraints require ledger audit,906000.0,0.04541565,0.0
2017-06-30,2883.TW,5145000,1000000000.0,8.83,D-1 estimated accounting; fill-day constraints require ledger audit,5145000.0,0.045434765,0.0
2017-06-30,2892.TW,2232000,1000000000.0,20.35,D-1 estimated accounting; fill-day constraints require ledger audit,2232000.0,0.045431375,0.0
2017-06-30,3081.TWO,130000,1000000000.0,348.0,D-1 estimated accounting; fill-day constraints require ledger audit,130000.0,0.045414,0.0
2017-06-30,3105.TWO,271000,1000000000.0,167.0,D-1 estimated accounting; fill-day constraints require ledger audit,271000.0,0.0453405,0.0
2017-06-30,3324.TWO,520000,1000000000.0,87.2,D-1 estimated accounting; fill-day constraints require ledger audit,520000.0,0.0453876,0.0
2017-06-30,3443.TW,352000,1000000000.0,129.0,D-1 estimated accounting; fill-day constraints require ledger audit,352000.0,0.0454725,0.0
2017-06-30,3481.TW,2857000,1000000000.0,15.9,D-1 estimated accounting; fill-day constraints require ledger audit,2857000.0,0.04543425,0.0
2017-06-30,5274.TWO,66000,1000000000.0,676.0,D-1 estimated accounting; fill-day constraints require ledger audit,66000.0,0.044954,0.0
2017-06-30,6290.TWO,1066000,1000000000.0,42.6,D-1 estimated accounting; fill-day constraints require ledger audit,1066000.0,0.0454329,0.0
2017-06-30,6415.TW,77000,1000000000.0,586.0,D-1 estimated accounting; fill-day constraints require ledger audit,77000.0,0.045415,0.0
2017-06-30,6505.TW,432000,1000000000.0,105.0,D-1 estimated accounting; fill-day constraints require ledger audit,432000.0,0.0454125,0.0
2017-06-30,8299.TWO,120000,1000000000.0,375.5,D-1 estimated accounting; fill-day constraints require ledger audit,120000.0,0.04524775,0.0
