signal_date,symbol,shares,signal_nav,sizing_price,reason,target_shares,target_weight,odd_entitlement
2016-06-30,2308.TW,264000,1000000000.0,156.0,D-1 estimated accounting; fill-day constraints require ledger audit,264000.0,0.041262,0.0
2016-06-30,2330.TW,253000,1000000000.0,162.5,D-1 estimated accounting; fill-day constraints require ledger audit,253000.0,0.04119375,0.0
2016-06-30,2344.TW,4632000,1000000000.0,8.92,D-1 estimated accounting; fill-day constraints require ledger audit,4632000.0,0.0413219,0.0
2016-06-30,2347.TW,1188000,1000000000.0,34.75,D-1 estimated accounting; fill-day constraints require ledger audit,1188000.0,0.041300375,0.0
2016-06-30,2382.TW,676000,1000000000.0,61.0,D-1 estimated accounting; fill-day constraints require ledger audit,676000.0,0.0412665,0.0
2016-06-30,2383.TW,549000,1000000000.0,75.2,D-1 estimated accounting; fill-day constraints require ledger audit,549000.0,0.0413224,0.0
2016-06-30,2395.TW,168000,1000000000.0,244.5,D-1 estimated accounting; fill-day constraints require ledger audit,168000.0,0.04119825,0.0
2016-06-30,2404.TW,859000,1000000000.0,48.05,D-1 estimated accounting; fill-day constraints require ledger audit,859000.0,0.041298975,0.0
2016-06-30,2409.TW,3772000,1000000000.0,10.95,D-1 estimated accounting; fill-day constraints require ledger audit,3772000.0,0.041308875,0.0
2016-06-30,2412.TW,354000,1000000000.0,116.5,D-1 estimated accounting; fill-day constraints require ledger audit,354000.0,0.04129925,0.0
2016-06-30,2454.TW,168000,1000000000.0,244.0,D-1 estimated accounting; fill-day constraints require ledger audit,168000.0,0.041114,0.0
2016-06-30,2615.TW,2320000,1000000000.0,17.8,D-1 estimated accounting; fill-day constraints require ledger audit,2320000.0,0.0413049,0.0
2016-06-30,3045.TW,366000,1000000000.0,112.5,D-1 estimated accounting; fill-day constraints require ledger audit,366000.0,0.04123125,0.0
2016-06-30,3260.TWO,980000,1000000000.0,42.1,D-1 estimated accounting; fill-day constraints require ledger audit,980000.0,0.04127905,0.0
2016-06-30,3481.TW,3825000,1000000000.0,10.8,D-1 estimated accounting; fill-day constraints require ledger audit,3825000.0,0.0413154,0.0
2016-06-30,3665.TW,209000,1000000000.0,197.0,D-1 estimated accounting; fill-day constraints require ledger audit,209000.0,0.0412715,0.0
2016-06-30,4904.TW,530000,1000000000.0,77.9,D-1 estimated accounting; fill-day constraints require ledger audit,530000.0,0.04132595,0.0
2016-06-30,5347.TWO,781000,1000000000.0,52.8,D-1 estimated accounting; fill-day constraints require ledger audit,781000.0,0.0412632,0.0
2016-06-30,6187.TWO,621000,1000000000.0,66.4,D-1 estimated accounting; fill-day constraints require ledger audit,621000.0,0.0412676,0.0
2016-06-30,6223.TWO,488000,1000000000.0,84.4,D-1 estimated accounting; fill-day constraints require ledger audit,488000.0,0.0412294,0.0
2016-06-30,6239.TW,576000,1000000000.0,71.5,D-1 estimated accounting; fill-day constraints require ledger audit,576000.0,0.04121975,0.0
2016-06-30,8358.TWO,2173000,1000000000.0,19.0,D-1 estimated accounting; fill-day constraints require ledger audit,2173000.0,0.0412965,0.0
2016-07-04,2345.TW,912000,1004929575.6508299,47.55,D-1 estimated accounting; fill-day constraints require ledger audit,912000.0,0.043176533014166116,0.0
2016-07-04,2404.TW,-859000,1004929575.6508299,46.7,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2016-07-05,1101.TW,1275000,1002449715.3156714,33.95,D-1 estimated accounting; fill-day constraints require ledger audit,1275000.0,0.04319740365866014,0.0
2016-07-05,6239.TW,-576000,1002449715.3156714,70.5,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2016-07-06,2344.TW,-4632000,985979480.4757954,8.92,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2016-07-06,3036.TW,1028000,985979480.4757954,41.4,D-1 estimated accounting; fill-day constraints require ledger audit,1028000.0,0.04318538148426029,0.0
2016-07-07,3163.TWO,824000,989282680.4668387,51.8,D-1 estimated accounting; fill-day constraints require ledger audit,824000.0,0.04317178582348752,0.0
2016-07-07,3665.TW,-209000,989282680.4668387,188.0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2016-07-11,2615.TW,-2320000,1004141969.2592993,17.6,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2016-07-11,3231.TW,1821000,1004141969.2592993,23.8,D-1 estimated accounting; fill-day constraints require ledger audit,1821000.0,0.0431728792612644,0.0
2016-07-12,2377.TW,646000,998767366.5459441,66.7,D-1 estimated accounting; fill-day constraints require ledger audit,646000.0,0.04317476866422665,0.0
2016-07-12,6223.TWO,-488000,998767366.5459441,83.29999999999998,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2016-07-13,2356.TW,1717000,1004186894.0499406,25.25,D-1 estimated accounting; fill-day constraints require ledger audit,1717000.0,0.04318605954425379,0.0
2016-07-13,6187.TWO,-621000,1004186894.0499406,64.4,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2016-07-14,3481.TW,-3825000,1009653378.9508345,10.7,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2016-07-14,6274.TWO,1117000,1009653378.9508345,39.0,D-1 estimated accounting; fill-day constraints require ledger audit,1117000.0,0.04316580413496766,0.0
2016-07-15,2368.TW,4382000,1014905178.9021895,10.0,D-1 estimated accounting; fill-day constraints require ledger audit,4382000.0,0.04318137389682548,0.0
2016-07-15,3260.TWO,-980000,1014905178.9021895,42.45,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2016-07-18,1815.TWO,3334000,1026886455.6677176,13.3,D-1 estimated accounting; fill-day constraints require ledger audit,3334000.0,0.0431876861898649,0.0
2016-07-18,2395.TW,-168000,1026886455.6677176,248.0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2016-07-19,2383.TW,-549000,1032030179.1122017,71.3,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2016-07-19,3044.TW,687000,1032030179.1122017,64.8,D-1 estimated accounting; fill-day constraints require ledger audit,687000.0,0.04316734229450915,0.0
2016-07-20,3653.TW,929000,1029457065.9268583,47.8,D-1 estimated accounting; fill-day constraints require ledger audit,929000.0,0.04315876928776815,0.0
2016-07-20,4904.TW,-530000,1029457065.9268583,74.9,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2016-07-21,2454.TW,-168000,1041820969.1352277,235.5,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2016-07-21,3008.TW,11000,1041820969.1352277,3385.0,D-1 estimated accounting; fill-day constraints require ledger audit,11000.0,0.03736486512871026,0.0
2016-07-22,1101.TW,-1275000,1036940604.0830532,34.85,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2016-07-22,2376.TW,978000,1036940604.0830532,41.5,D-1 estimated accounting; fill-day constraints require ledger audit,978000.0,0.03916111476405021,0.0
2016-07-25,3045.TW,-366000,1026689204.5871892,110.0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2016-07-25,3264.TWO,1946000,1026689204.5871892,21.25,D-1 estimated accounting; fill-day constraints require ledger audit,1946000.0,0.04028787369653046,0.0
2016-07-26,2344.TW,4036000,1030324920.053608,9.97,D-1 estimated accounting; fill-day constraints require ledger audit,4036000.0,0.03905943088118853,0.0
2016-07-26,2382.TW,-676000,1030324920.053608,64.7,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2016-07-27,2356.TW,-1717000,1023781133.1103727,24.1,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
2016-07-27,3260.TWO,930000,1023781133.1103727,46.4,D-1 estimated accounting; fill-day constraints require ledger audit,930000.0,0.04217229503812836,0.0
2016-07-28,6274.TWO,-1117000,1022510917.7003291,39.2,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
