signal_date,symbol,shares,signal_nav,sizing_price,reason,target_shares,target_weight,odd_entitlement
2018-10-19,1216.TW,551000,1000000000.0,74.9,D-1 estimated accounting; fill-day constraints require ledger audit,551000.0,0.04130735,0.0
2018-10-19,2308.TW,348000,1000000000.0,118.5,D-1 estimated accounting; fill-day constraints require ledger audit,348000.0,0.04129725,0.0
2018-10-19,2345.TW,467000,1000000000.0,88.2,D-1 estimated accounting; fill-day constraints require ledger audit,467000.0,0.0412335,0.0
2018-10-19,2360.TW,319000,1000000000.0,129.0,D-1 estimated accounting; fill-day constraints require ledger audit,319000.0,0.0412155,0.0
2018-10-19,2412.TW,387000,1000000000.0,106.5,D-1 estimated accounting; fill-day constraints require ledger audit,387000.0,0.04126875,0.0
2018-10-19,2609.TW,4737000,1000000000.0,8.72,D-1 estimated accounting; fill-day constraints require ledger audit,4737000.0,0.041311,0.0
2018-10-19,2610.TW,4539000,1000000000.0,9.1,D-1 estimated accounting; fill-day constraints require ledger audit,4539000.0,0.04130945,0.0
2018-10-19,2812.TW,4029000,1000000000.0,10.25,D-1 estimated accounting; fill-day constraints require ledger audit,4029000.0,0.041302375,0.0
2018-10-19,2834.TW,3953000,1000000000.0,10.45,D-1 estimated accounting; fill-day constraints require ledger audit,3953000.0,0.041314075,0.0
2018-10-19,2881.TW,822000,1000000000.0,50.2,D-1 estimated accounting; fill-day constraints require ledger audit,822000.0,0.0412895,0.0
2018-10-19,2886.TW,1573000,1000000000.0,26.25,D-1 estimated accounting; fill-day constraints require ledger audit,1573000.0,0.041304375,0.0
2018-10-19,2912.TW,122000,1000000000.0,335.0,D-1 estimated accounting; fill-day constraints require ledger audit,122000.0,0.0410375,0.0
2018-10-19,3045.TW,379000,1000000000.0,108.5,D-1 estimated accounting; fill-day constraints require ledger audit,379000.0,0.04117575,0.0
2018-10-19,3324.TWO,791000,1000000000.0,52.2,D-1 estimated accounting; fill-day constraints require ledger audit,791000.0,0.0413163,0.0
2018-10-19,3491.TWO,567000,1000000000.0,72.7,D-1 estimated accounting; fill-day constraints require ledger audit,567000.0,0.04125725,0.0
2018-10-19,4904.TW,574000,1000000000.0,71.9,D-1 estimated accounting; fill-day constraints require ledger audit,574000.0,0.04130655,0.0
2018-10-19,4958.TW,586000,1000000000.0,70.4,D-1 estimated accounting; fill-day constraints require ledger audit,586000.0,0.0412896,0.0
2018-10-19,5876.TW,1119000,1000000000.0,36.9,D-1 estimated accounting; fill-day constraints require ledger audit,1119000.0,0.04130955,0.0
2018-10-19,5903.TWO,196000,1000000000.0,210.0,D-1 estimated accounting; fill-day constraints require ledger audit,196000.0,0.041265,0.0
2018-10-19,6121.TWO,207000,1000000000.0,198.5,D-1 estimated accounting; fill-day constraints require ledger audit,207000.0,0.04118875,0.0
2018-10-19,8415.TWO,1161000,1000000000.0,35.55,D-1 estimated accounting; fill-day constraints require ledger audit,1161000.0,0.041291325,0.0
2018-10-19,8932.TWO,4131000,1000000000.0,10.0,D-1 estimated accounting; fill-day constraints require ledger audit,4131000.0,0.041315,0.0
