signal_date,symbol,shares,signal_nav,sizing_price,reason,target_shares,target_weight,odd_entitlement
2019-10-18,1590.TW,175000,1000000000.0,426.5,D-1 estimated accounting; fill-day constraints require ledger audit,175000.0,0.07485075,0.0
2019-10-18,2313.TW,795000,1000000000.0,41.3,D-1 estimated accounting; fill-day constraints require ledger audit,795000.0,0.03285415,0.0
2019-10-18,2327.TW,259000,1000000000.0,312.5,D-1 estimated accounting; fill-day constraints require ledger audit,259000.0,0.08109375,0.0
2019-10-18,2330.TW,85000,1000000000.0,293.0,D-1 estimated accounting; fill-day constraints require ledger audit,85000.0,0.0250515,0.0
2019-10-18,2345.TW,207000,1000000000.0,189.5,D-1 estimated accounting; fill-day constraints require ledger audit,207000.0,0.03932125,0.0
2019-10-18,3105.TWO,65000,1000000000.0,307.0,D-1 estimated accounting; fill-day constraints require ledger audit,65000.0,0.0201085,0.0
2019-10-18,3131.TWO,106000,1000000000.0,164.0,D-1 estimated accounting; fill-day constraints require ledger audit,106000.0,0.017466,0.0
2019-10-18,3211.TWO,697000,1000000000.0,60.3,D-1 estimated accounting; fill-day constraints require ledger audit,697000.0,0.04205925,0.0
2019-10-18,3324.TWO,303000,1000000000.0,237.0,D-1 estimated accounting; fill-day constraints require ledger audit,303000.0,0.0719295,0.0
2019-10-18,3443.TW,143000,1000000000.0,280.0,D-1 estimated accounting; fill-day constraints require ledger audit,143000.0,0.04018,0.0
2019-10-18,3661.TW,360000,1000000000.0,182.0,D-1 estimated accounting; fill-day constraints require ledger audit,360000.0,0.065611,0.0
2019-10-18,3680.TWO,775000,1000000000.0,123.5,D-1 estimated accounting; fill-day constraints require ledger audit,775000.0,0.09577425,0.0
2019-10-18,3711.TW,57000,1000000000.0,78.0,D-1 estimated accounting; fill-day constraints require ledger audit,57000.0,0.004485,0.0
2019-10-18,4958.TW,213000,1000000000.0,134.5,D-1 estimated accounting; fill-day constraints require ledger audit,213000.0,0.02871575,0.0
2019-10-18,4991.TWO,81000,1000000000.0,63.6,D-1 estimated accounting; fill-day constraints require ledger audit,81000.0,0.0051834,0.0
2019-10-18,5483.TWO,367000,1000000000.0,91.2,D-1 estimated accounting; fill-day constraints require ledger audit,367000.0,0.033516,0.0
2019-10-18,6290.TWO,521000,1000000000.0,69.3,D-1 estimated accounting; fill-day constraints require ledger audit,521000.0,0.03613995,0.0
2019-10-18,6488.TWO,248000,1000000000.0,367.0,D-1 estimated accounting; fill-day constraints require ledger audit,248000.0,0.0911995,0.0
2019-10-18,6510.TWO,17000,1000000000.0,877.0,D-1 estimated accounting; fill-day constraints require ledger audit,17000.0,0.0153475,0.0
2019-10-18,6669.TW,40000,1000000000.0,495.0,D-1 estimated accounting; fill-day constraints require ledger audit,40000.0,0.0200475,0.0
2019-10-18,8046.TW,70000,1000000000.0,51.3,D-1 estimated accounting; fill-day constraints require ledger audit,70000.0,0.00361665,0.0
2019-10-18,8932.TWO,4143000,1000000000.0,15.4,D-1 estimated accounting; fill-day constraints require ledger audit,4143000.0,0.0638099,0.0
2019-10-23,3680.TWO,-2000,993830696.2123927,128.5,D-1 estimated accounting; fill-day constraints require ledger audit,773000.0,0.0999735520237805,0.0
2019-10-24,3680.TWO,-22000,1006989083.4627868,134.0,D-1 estimated accounting; fill-day constraints require ledger audit,751000.0,0.09996777107749,0.0
2019-11-19,3036.TW,1970000,1013591193.1828703,42.3,D-1 estimated accounting; fill-day constraints require ledger audit,1970000.0,0.08223448522501295,0.0
2019-11-19,3324.TWO,-303000,1013591193.1828703,201.0,D-1 estimated accounting; fill-day constraints require ledger audit,0.0,0.0,0.0
